Krajina,Kód,Hlavné mesto,Obyvateľské meno,Prídavné meno,Mena,Continent,Colour,CapitalLatitude,CapitalLongitude
Šalamúnove ostrovy,SB,Honiara,"Šalamúnčan, Šalamúnčanka",šalamúnsky,dolár Šalamúnovych ostrovov,Oceania,1,-9.433333333333334,159.95
Španielsko,ES,Madrid,"Španiel, Španielka",španielsky,euro,Europe,2,40.4,-3.683333
Švajčiarsko,CH,Bern,"Švajčiar, Švajčiarka",švajčiarsky,švajčiarsky frank,Europe,2,46.91666666666666,7.466667
Švédsko,SE,Štokholm,"Švéd, Švédka",švédsky,švédska koruna,Europe,2,59.33333333333334,18.05
Tadžikistan,TJ,Dušanbe,"Tadžik, Tadžička",tadžický,somoni,Asia,6,38.55,68.766667
Taiwan,TW,Tchaj-pej,"Taiwanec, Taiwanka; Taiwančan, Taiwančanka",taiwanský,nový taiwanský dolár,Asia,6,25.03333333333333,121.516667
Taliansko,IT,Rím,"Talian, Talianka",taliansky,euro,Europe,2,41.9,12.483333
Tanzánia,TZ,Dodoma,"Tanzánijčan, Tanzánijčanka; Tanzánčan, Tanzánčanka","tanzánijský, tanzánsky",tanzánijský šiling,Africa,5,-6.8,39.283333
Thajsko,TH,Bangkok,"Thajčan, Thajčanka",thajský,baht,Asia,6,13.75,100.516667
Togo,TG,Lomé,"Togčan, Togčanka",togský,frank CFA,Africa,5,6.116666666666666,1.216667
Tonga,TO,Nuku’alofa,"Tongan, Tonganka",tongský,pa’anga,Oceania,1,-21.133333333333333,-175.2
Trinidad a Tobago,TT,Port of Spain,"Trinidadčan, Trinidadčanka",trinidadský,dolár Trinidadu a Tobaga,North America,3,10.65,-61.516667000000005
Tunisko,TN,Tunis,"Tunisan, Tunisanka",tuniský,tuniský dinár,Africa,5,36.8,10.183333
Turecko,TR,Ankara,"Turek, Turkyňa",turecký,turecká líra,Asia,6,39.93333333333333,32.866667
Turkménsko,TM,Ašchabad,"Turkmén, Turkménka",turkménsky,turkménsky manat,Asia,6,37.95,58.38333299999999
Turks a Caicos,TC,Cockburn Town,"obyvateľ, obyvateľka Ostrovov Turks a Caicos",z Ostrovov Turks a Caicos,americký dolár,North America,3,21.466666666666665,-71.133333
Tuvalu,TV,Funafuti,"Tuvalčan, Tuvalčanka",tuvalský,austrálsky dolár,Oceania,1,-8.516666666666667,179.216667
Uganda,UG,Kampala,"Uganďan, Uganďanka",ugandský,ugandský šiling,Africa,5,0.31666666666666665,32.55
Ukrajina,UA,Kyjev,"Ukrajinec, Ukrajinka",ukrajinský,hryvna,Europe,2,50.43333333333333,30.516666999999998
Uruguaj,UY,Montevideo,"Uruguajec, Uruguajka; Uruguajčan, Uruguajčanka",uruguajský,uruguajské peso,South America,4,-34.85,-56.166667000000004
Uzbekistan,UZ,Taškent,"Uzbek, Uzbečka",uzbecký,sum,Asia,6,41.31666666666667,69.25
Vanuatu,VU,Port Vila,"Vanuatčan, Vanuatčanka",vanuatský,vatu,Oceania,1,-17.733333333333334,168.316667
Venezuela,VE,Caracas,"Venezuelčan, Venezuelčanka",venezuelský,bolívar soberano,South America,4,10.483333333333333,-66.866667
Vianočný ostrov,CX,Flying Fish Cove,"obyvateľ, obyvateľka Vianočného ostrova",z Vianočného ostrova,austrálsky dolár,Asia,6,-10.416666666666666,105.71666699999999
Vietnam,VN,Hanoj,"Vietnamec, Vietnamka",vietnamský,dong,Asia,6,21.03333333333333,105.85
Wallis a Futuna,WF,Mata-Utu,"Wallisan a Futunčan, Wallisanka a Futunčanka",walliský a futunský,frank CFP,Oceania,1,-13.95,-171.933333
Zambia,ZM,Lusaka,"Zambijčan, Zambijčanka",zambijský,zambijská kwacha,Africa,5,-15.416666666666664,28.283333000000002
Západná Sahara,EH,El-Aaiún,"Západosaharčan, Západosaharčanka",západosaharský,marocký dirham,Africa,5,27.153610999999998,-13.203332999999999
Zimbabwe,ZW,Harare,"Zimbabwčan, Zimbabwčanka",zimbabwiansky,zimbabwiansky dolár,Africa,5,-17.816666666666666,31.033333000000002
