Krajina,Kód,Hlavné mesto,Obyvateľské meno,Prídavné meno,Mena,Continent,Colour,CapitalLatitude,CapitalLongitude
Džibutsko,DJ,Džibuti,"Džibuťan, Džibuťanka",džibutský,džibutský frank,Africa,5,11.583333333333336,43.15
Egypt,EG,Káhira,"Egypťan, Egypťanka",egyptský,egyptská libra,Africa,5,30.05,31.25
Ekvádor,EC,Quito,"Ekvádorčan, Ekvádorčanka",ekvádorský,americký dolár,South America,4,-0.21666666666666667,-78.5
Eritrea,ER,Asmara,"Eritrejčan, Eritrejčanka",eritrejský,nakfa,Africa,5,15.333333333333336,38.933333000000005
Estónsko,EE,Tallinn,"Estónec, Estónka",estónsky,euro,Europe,2,59.43333333333333,24.716667
Eswatini,SZ,Mbabane,"Eswatinčan, Eswatinčanka",eswatinský,lilangeni,Africa,5,-26.316666666666666,31.133333
Etiópia,ET,Addis Abeba,"Etiópčan, Etiópčanka",etiópsky,birr,Africa,5,9.033333333333333,38.7
Faerské ostrovy,FO,Thorshavn,"Faerčan, Faerčanka",faerský,dánska koruna,Europe,2,62.0,-6.766667
Falklandy,FK,Stanley,"Falklanďan, Falklanďanka",falklandský,falklandská libra,South America,4,-51.7,-57.85
Fidži,FJ,Suva,"Fidžijčan, Fidžijčanka",fidžijský,fidžijský dolár,Oceania,1,-18.133333333333333,178.416667
Filipíny,PH,Manila,"Filipínec, Filipínka",filipínsky,filipínske peso,Asia,6,14.6,120.96666699999999
Fínsko,FI,Helsinki,"Fín, Fínka",fínsky,euro,Europe,2,60.16666666666666,24.933332999999998
Francúzska Polynézia,PF,Papeete,"Polynézan, Polynézanka",polynézsky,frank CFP,Oceania,1,-17.533333333333335,-149.566667
Francúzsko,FR,Paríž,"Francúz, Francúzka",francúzsky,euro,Europe,2,48.86666666666667,2.333333
Gabon,GA,Libreville,"Gabončan, Gabončanka",gabonský,frank CFA,Africa,5,0.38333333333333336,9.45
Gambia,GM,Banjul,"Gambijčan, Gambijčanka",gambijský,dalasi,Africa,5,13.45,-16.566667000000002
Ghana,GH,Akkra,"Ghančan, Ghančanka",ghanský,ghanský cedi,Africa,5,5.55,-0.216667
Gibraltár,GI,Gibraltár,"Gibraltárčan, Gibraltárčanka",gibraltársky,gibraltárska libra,Europe,2,36.13333333333333,-5.35
Grécko,EL,Atény,"Grék, Grékyňa",grécky,euro,Europe,2,41.31666666666667,19.816667000000002
Grenada,GD,Saint George’s,"Grenadčan, Grenadčanka",grenadský,východokaribský dolár,North America,3,12.05,-61.75
Grónsko,GL,Nuuk,"Grónčan, Grónčanka",grónsky,dánska koruna,North America,3,64.18333333333334,-51.75
Gruzínsko,GE,Tbilisi,"Gruzínec, Gruzínka",gruzínsky,lari,Europe,2,41.68333333333333,44.833333
Guadeloupe,GP,Basse Terre,"Guadeloupčan, Guadeloupčanka",guadeloupský,euro,North America,3,39.016666666666666,125.75
Guam,GU,Agaña,"Guamčan, Guamčanka",guamský,americký dolár,Oceania,1,13.466666666666667,144.73333300000002
Guatemala,GT,Guatemala,"Guatemalčan, Guatemalčanka",guatemalský,quetzal,North America,3,14.616666666666667,-90.516667
Guernsey,GG,Saint Peter Port,obyvateľ Guernseya,guernseyský,guernseyská libra,Europe,2,49.45,-2.5333330000000003
Guernsey,GG,Saint Peter Port,obyvateľ Guernseya,guernseyský,libra šterlingov,Europe,2,49.45,-2.5333330000000003
Guinea,GN,Konakry,"Guinejčan, Guinejčanka",guinejský,guinejský frank,Africa,5,9.5,-13.7
Guinea-Bissau,GW,Bissau,"Guinejčan-Bissaučan, Guinejčanka-Bissaučanka",guinejsko-bissauský,frank CFA,Africa,5,11.85,-15.583332999999998
Guyana,GY,Georgetown,"Guyančan, Guyančanka",guyanský,guyanský dolár,South America,4,6.8,-58.15
Haiti,HT,Port-au-Prince,"Haiťan, Haiťanka",haitský,gourde,North America,3,18.53333333333333,-72.333333
Haiti,HT,Port-au-Prince,"Haiťan, Haiťanka",haitský,americký dolár,North America,3,18.53333333333333,-72.333333
Holandsko,NL,Amsterdam,"Holanďan, Holanďanka",holandský,euro,Europe,2,52.35,4.9166669999999995
Honduras,HN,Tegucigalpa,"Hondurasan, Hondurasanka",honduraský,lempira,North America,3,14.1,-87.216667
India,IN,Dillí,"Ind, Indka",indický,indická rupia,Asia,6,28.6,77.2
Indonézia,ID,Jakarta,"Indonézan, Indonézanka",indonézsky,indonézska rupia,Asia,6,-6.166666666666668,106.816667
Irak,IQ,Bagdad,"Iračan, Iračanka",iracký,iracký dinár,Asia,6,33.333333333333336,44.4
Irán,IR,Teherán,"Iránec, Iránka",iránsky,iránsky rial,Asia,6,35.7,51.416667
Írsko,IE,Dublin,"Ír, Írka",írsky,euro,Europe,2,53.31666666666667,-6.233333
Island,IS,Reykjavík,"Islanďan, Islanďanka",islandský,islandská koruna,Europe,2,64.15,-21.95
Izrael,IL,Jeruzalem,"Izraelčan, Izraelčanka",izraelský,šekel,Asia,6,31.766666666666666,35.233333
Jamajka,JM,Kingston,"Jamajčan, Jamajčanka",jamajský,jamajský dolár,North America,3,18.0,-76.8
Japonsko,JP,Tokio,"Japonec, Japonka",japonský,jen,Asia,6,35.68333333333333,139.75
Jemen,YE,Saná,"Jemenčan, Jemenčanka",jemenský,jemenský rial,Asia,6,15.35,44.2
Jersey,JE,Saint Helier,obyvateľ Jerseya,jerseyský,jerseyská libra/libra šterlingov,Europe,2,49.18333333333333,-2.1
Jordánsko,JO,Ammán,"Jordánec, Jordánka; Jordánčan, Jordánčanka",jordánsky,jordánsky dinár,Asia,6,31.95,35.933333000000005
Južná Afrika,ZA,Pretória,"Juhoafričan, Juhoafričanka",juhoafrický,rand,Africa,5,-25.7,28.216666999999998
Južná Georgia a Južné Sandwichove ostrovy,GS,King Edward Point,—,z Južnej Georgie a Južných Sandwichových ostrovov,—,Antarctica,7,-54.283333,-36.5
Južná Kórea,KR,Soul,"Juhokórejčan, Juhokórejčanka",juhokórejský,juhokórejský won,Asia,6,37.55,126.983333
Južný Sudán,SS,Juba,"Juhosudánec, Juhosudánka",juhosudánsky,juhosudánska libra,Africa,5,4.85,31.616667
Kajmanie ostrovy,KY,George Town,"Kajmančan, Kajmančanka",kajmanský,kajmanský dolár,North America,3,19.3,-81.383333
Kambodža,KH,Phnom Pénh,"Kambodžan, Kambodžanka",kambodžský,riel,Asia,6,11.55,104.91666699999999
Kanada,CA,Ottawa,"Kanaďan, Kanaďanka",kanadský,kanadský dolár,North America,3,45.41666666666666,-75.7
Kapverdy,CV,Praia,"Kapverďan, Kapverďanka",kapverdský,kapverdské escudo,Africa,5,14.916666666666664,-23.516667
Katar,QA,Dauha,"Katarčan, Katarčanka",katarský,katarský rial,Asia,6,25.28333333333333,51.533333
Kazachstan,KZ,Nur-Sultan,"Kazach, Kazaška",kazašský,tenge,Asia,6,51.16666666666666,71.416667
Keňa,KE,Nairobi,"Keňan, Keňanka",kenský,kenský šiling,Africa,5,-1.2833333333333332,36.816666999999995
Kirgizsko,KG,Biškek,"Kirgiz, Kirgizka",kirgizský,som,Asia,6,42.86666666666667,74.6
Kiribati,KI,Tarawa,"Kiribatčan, Kiribatčanka",kiribatský,austrálsky dolár,Oceania,1,-0.8833333333333333,169.533333
Kokosové ostrovy,CC,West Island,"obyvateľ, obyvateľka Kokosových ostrovov",z Kokosových ostrovov,austrálsky dolár,Asia,6,-12.166666666666664,96.833333
Kolumbia,CO,Bogota,"Kolumbijčan, Kolumbijčanka; Kolumbijec, Kolumbijka",kolumbijský,kolumbijské peso,South America,4,4.6,-74.083333
Komory,KM,Moroni,"Komorčan, Komorčanka",komorský,komorský frank,Africa,5,-11.7,43.233333
Kongo,CG,Brazzaville,"Konžan, Konžanka",konžský,frank CFA,Africa,5,-4.25,15.283332999999999
Konžská demokratická republika,CD,Kinshasa,"obyvateľ, obyvateľka Konžskej demokratickej republiky",z Konžskej demokratickej republiky,konžský frank,Africa,5,-4.316666666666666,15.3
Kostarika,CR,San José,"Kostaričan, Kostaričanka",kostarický,kostarický kolón,North America,3,9.933333333333334,-84.083333
Kuba,CU,Havana,"Kubánec, Kubánka",kubánsky,kubánske peso/konvertibilné peso,North America,3,23.11666666666667,-82.35
Kuvajt,KW,Kuvajt,"Kuvajťan, Kuvajťanka",kuvajtský,kuvajtský dinár,Asia,6,29.36666666666667,47.966667
Laos,LA,Vientian,"Laosan, Laosanka",laoský,kip,Asia,6,17.966666666666665,102.6
Lesotho,LS,Maseru,"Lesothčan, Lesothčanka",lesothský,loti/rand,Africa,5,-29.316666666666666,27.483333000000002
Libanon,LB,Bejrút,"Libanončan, Libanončanka",libanonský,libanonská libra,Asia,6,33.86666666666667,35.5
Libéria,LR,Monrovia,"Libérijčan, Libérijčanka",libérijský,libérijský dolár,Africa,5,6.3,-10.8
Líbya,LY,Tripolis,"Líbyjčan, Líbyjčanka",líbyjský,líbyjský dinár,Africa,5,32.88333333333333,13.166667000000002
Lichtenštajnsko,LI,Vaduz,"Lichtenštajnčan, Lichtenštajnčanka",lichtenštajnský,švajčiarsky frank,Europe,2,47.13333333333333,9.516667
Litva,LT,Vilnius,"Litovčan, Litovčanka",litovský,euro,Europe,2,54.68333333333333,25.316667000000002
Lotyšsko,LV,Riga,"Lotyš, Lotyška",lotyšský,euro,Europe,2,56.95,24.1
Luxembursko,LU,Luxemburg,"Luxemburčan, Luxemburčanka",luxemburský,euro,Europe,2,49.6,6.116667
Madagaskar,MG,Antananarivo,"Madagaskarčan, Madagaskarčanka",madagaskarský,ariary,Africa,5,-18.916666666666668,47.516667
Maďarsko,HU,Budapešť,"Maďar, Maďarka",maďarský,forint,Europe,2,47.5,19.083333
Malajzia,MY,Kuala Lumpur,"Malajzijčan, Malajzijčanka",malajzijský,ringgit,Asia,6,3.1666666666666665,101.7
Malawi,MW,Lilongwe,"Malawijčan, Malawijčanka",malawijský,malawijská kwacha,Africa,5,-13.966666666666667,33.783333
Maldivy,MV,Male,"Maldivčan, Maldivčanka",maldivský,maldivská rupia,Asia,6,4.166666666666667,73.5
Mali,ML,Bamako,"Malijčan, Malijčanka",malijský,frank CFA,Africa,5,12.65,-8.0
Malta,MT,Valletta,"Malťan, Malťanka",maltský,euro,Europe,2,35.88333333333333,14.5
Maroko,MA,Rabat,"Maročan, Maročanka",marocký,marocký dirham,Africa,5,34.016666666666666,-6.816667
Marshallove ostrovy,MH,Majuro,"obyvateľ, obyvateľka Marshallových ostrovov",z Marshallových ostrovov,americký dolár,Oceania,1,7.1,171.383333
Martinik,MQ,Fort-de-France,"Martiničan, Martiničanka",martinický,euro,North America,3,42.0,21.433332999999998
Maurícius,MU,Port Louis,"Maurícijčan, Maurícijčanka",maurícijský,maurícijská rupia,Africa,5,-20.15,57.483332999999995
